4,1,2008-07-31 21:42:52,222,13150,8,When setting a form's opacity should I use a decimal or double?,13,34
6,1,2008-07-31 22:08:08,98,6691,9,Why doesn't the percentage width child in absolutely positioned parent work in IE 7?,5,12
7,2,2008-07-31 22:17:57,176,,9,,,0
8,1,2008-07-31 23:33:19,30,2432,9,Tool for Converting Visual J# code to C#?,3,0
9,1,2008-07-31 23:40:59,582,133946,1,How do I calculate someone's age,37,4
11,1,2008-07-31 23:55:37,639,59517,1,How do I calculate relative time?,28,9
12,2,2008-07-31 23:56:41,186,,1,,,11
13,1,2008-08-01 00:42:38,236,58340,9,Determining a web user's time zone,21,7
14,1,2008-08-01 00:59:11,149,37887,11,Difference between Math.Floor() and Math.Truncate() in .NET,5,1
16,1,2008-08-01 04:59:33,29,41218,2,Filling a DataSet or DataTable from a LINQ query result set,5,0
17,1,2008-08-01 05:09:55,53,11547,2,Binary Data in MySQL,8,0
19,1,2008-08-01 05:21:22,131,17476,13,Fastest way to get value of pi,22,10
21,2,2008-08-01 08:57:27,7,,13,,,0
22,2,2008-08-01 12:07:19,4,,17,,,1
24,1,2008-08-01 12:12:19,36,14040,22,Throw an error in a MySQL trigger,4,0
25,1,2008-08-01 12:13:50,40,4289,23,How to use the C socket API in C++ on z/OS,10,0
26,2,2008-08-01 12:16:22,38,,48,,,4
27,2,2008-08-01 12:17:19,11,,17,,,1
29,2,2008-08-01 12:19:17,17,,19,,,0
30,2,2008-08-01 12:22:40,7,,13,,,1
33,2,2008-08-01 12:26:39,217,,13,,,5
36,1,2008-08-01 12:35:56,50,18567,32,Check for changes to an SQL Server table?,7,1
37,2,2008-08-01 12:36:00,9,,23,,,0
39,1,2008-08-01 12:43:11,24,2702,33,Reliable timer in a console application,2,
42,1,2008-08-01 12:50:18,120,11484,37,Best way to allow plugins for a PHP application,8,0
44,2,2008-08-01 12:55:42,4,,35,,,0
45,2,2008-08-01 12:56:37,15,,39,,,3
48,1,2008-08-01 13:01:17,77,52826,40,Multiple submit buttons in an HTML form,13,0
49,2,2008-08-01 13:02:51,16,,43,,,1
51,2,2008-08-01 13:07:52,9,,17,,,
52,2,2008-08-01 13:08:59,7,,23,,,
53,2,2008-08-01 13:08:59,9,,34,,,0
56,2,2008-08-01 13:10:16,16,,39,,,2
58,2,2008-08-01 13:14:30,31,,37,,,1
59,1,2008-08-01 13:14:33,25,12241,45,How do I get a distinct, ordered list of names from a DataTable using LINQ?,5,
60,2,2008-08-01 13:14:40,7,,41,,,
62,2,2008-08-01 13:18:37,25,,45,,,
63,2,2008-08-01 13:19:43,7,,39,,,
